Invoice Column,Purchase Order Column,Mapped Result
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
"['14329 ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT', 'ICE CREAM GELATO STRAWBERRY 2/4LT', 'ICE CREAM COOKIES&CREAM 2/4LT']","['ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM']","{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}"
"['46323 ICE CREAM SORBET LEMONCELLO 5/5LT', '36489 ICE CREAM VANILLA BEAN 2/4LT', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT', '67008 ICE CREAM MANGO SORBETTO 1/2LT']","['ICE CREAM SORBET LEMONCELLO', 'ICE CREAM VANILLA BEAN', 'ICE CREAM COOKIE%CRM DUTCH FUD', 'ICE CREAM GELATO MACKINAC FUDGE', 'ICE CREAM GELATO HONEYCOMB', 'ICE CREAM SORBET RASPBERRY']","{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}"
